Locality	Latitude	Longitude	Marine Limit	Reference
Franklin Pierce Bay	79.533333	-75	92	England (1996)
Cambridge Fiord	71.25	-74.966667	61	Hodgson and Haselton (1974)
Omega Bay	71.45	-74.866667	73	Stravers and Syvitski (1991)
Marvin Peninsula	83.016667	-74.85	74	Lemmen (1989)
Herschel Bay	78.6	-74.75	117	England et al. (2000)
Piling Bay South	68.833333	-74.733333	96	Dredge (2003c)
North Tweedsmuir Island	68.616667	-74.7	106	Andrews (1970b)
Arundel	46	-74.55	250	Fulton (1987)
Piling Lake East	69.283333	-74.4	77	Dredge (2003d)
Malone	44.85	-74.3	148	Pair and Rodrigues (1993)
Feachem Valley	71.9	-74.3	34	Stravers and Syvitski (1991)
Deception River	62.12	-74.275	142	Gray et al. (1993)
Tweedsmuir Island South	68.45	-74.266667	110	Dredge (2003a)
Kentra Bay	71.283333	-74.25	90	Hodgson and Haselton (1974)
Flint Lake Central	69.283333	-74.216667	60	Dredge (2003d)
Saint-Dominique	45.316667	-74.15	180	Parent and Occhietti (1988)
Piling Lake	68.933333	-74.133333	82	Andrews and Drapier (1967), Dredge (2003c)
Charles Island	62.666667	-74.1	160	Gray et al. (1993)
Disraeli Creek	82.95	-74.033333	78	Lemmen (1989)
Cap Briard	62.308333	-74.011667	142	Gray et al. (1993)
Flint Lake head	69.366667	-74	40	Andrews (1970b)
Straits Bay West	68.583333	-74	92	Dredge (2003b)
Disraeli Fiord centre	82.8	-73.85	97	Lemmen (1989)
Tromso Fiord	71.083	-73.83	70	Hodgson and Haselton (1974)
Cap de la Nouvelle-France	62.416667	-73.8	182	Gray et al. (1993)
Maud Harbour	71.75	-73.75	29	Hodgson and Haselton (1974)
Dobbin Bay Northeast	79.833333	-73.466667	81	England (1996)
Covey Hill	45.02	-73.46	160	Goldthwait in Gadd (1973b), Pair and Rodrigues (1993)
West Bridport	43.9	-73.3833	67	Stewart and MacClintock (1969)
Charlotte	44.3	-73.25	84	Stewart and MacClintock (1969)
Vergennes	44.1667	-73.25	75	Stewart and MacClintock (1969)
Bowman Bay	65.4	-73.2	107	Blake (1966), Prest et al. (1968)
Burlington	44.4667	-73.2	104	Stewart and MacClintock (1969)
Nadluardjuk West	68.583333	-73.183333	72	Dredge (2003b)
Isbjorn O	76.725	-73.116667	55	Kelly et al. (1999)
Nadluardjuk River	68.366667	-73	90	Dredge (2003a)
Douglas Harbour	62	-73	150	Gray et al. (1993)
East Highgate	44.9167	-72.9833	153	Stewart and MacClintock (1969)
Duart Bay	71.35	-72.883333	60	Harrison in Andrews and Drapier (1967), Hodgson and Haselton (1974)
Adamsville	45.283333	-72.783333	165	Parent and Occhietti (1988)
Nadluardjuk Eeat	68.633333	-72.766666	62	Dredge (2003b)
Rivière Arnaud	59.7	-72.75	120	Lauriol (1982)
Rivière La Fourche	46.534722	-72.654167	200	Occhietti (1976)
Dobbin Bay East	79.816667	-72.633333	83	England (1996)
Refuge Harbour	78.453333	-72.616667	96	Blake et al. (1992)
Wordie Bay	68.183333	-72.45	74	Dredge (2003a)
Sainte-Christine	45.6	-72.441667	165	McDonald (1969)
Rivière Bastican	46.570833	-72.420833	200	Occhietti (1976)
Inglefield Land	78.633333	-72.283333	87	Blake et al. (1992)
Warwick	45.943056	-72.0025	175	Parent and Occhietti (1988)
Rivière aux Feuilles ouest	58.25	-71.95	159	Lauriol (1982)
Métabetchouan	48.433333	-71.85	198	Vincent (1989)
Markham Bay	63.9368	-71.8461	72	Hodgson (unpublished)
Netteling Lake	66	-71.75	97	Prest et al. (1968)
Walker Arm	70.266667	-71.716667	58	Ives in Andrews and Drapier (1967)
Netteling Lake Northwest	67.1	-71.667	91	Jackson (personal communication, 2005)
Sam Ford Fiord head	70	-71.616667	66	Smith in Andrews and Drapier (1967)
Scoresby Bay head	79.9	-71.5	84	England (1996)
John Richardson Bay	80.166667	-71.466667	84	England (1996)
Gould Bay	79.75	-71.366667	88	Gualtieri and England (1998)
Scott Inlet	71.2	-71.366667	46	Miller et al. (1977)
Canon Inlet	63.075	-71.35	138	Manley (1996)
Sam Ford Fiord	70.216667	-71.3	64	Loken in Andrews and Drapier (1967)
Notre-Dame-des Laurentides	46.9075	-71.298889	200	LaSalle and Shilts (1993)
Saint-Henri-de-Lévis	46.6375	-71.133333	200	LaSalle and Shilts (1993)
Chicoutimi	48.25	-71.1	167	Prest et al. (1968)
Booth Sound	76.933333	-71.083333	46	Kelly et al. (1999)
West Lynn	42.366667	-71.066667	18	Kaye and Braghorn (1964)
Haverhill	42.758333	-71.031944	29	Koteff et al. (1993)
Lee	43.123	-71.012	60	Koteff et al. (1993)
Merrimac	42.83	-71	32	Stone and Peper (1982)
Quincy	42.25	-71	0	Stone and Peper (1982)
Dover	43.224	-70.96	67	Birch (1980)
Exeter	42.9814	-70.9483	41	Koteff et al. (1993)
Cocheco	43.2297	-70.9383	89	Koteff et al. (1993)
Newburyport	42.8167	-70.9167	28	Koteff et al. (1993)
Rowley	42.717	-70.87917	20	Koteff et al. (1993)
Berwick	43.25	-70.865	61	Bloom (1963), Thompson et al. (1989)
Ipswich	42.679167	-70.841667	15	Koteff et al. (1993)
Sanford	43.43917	-70.7747	79	Koteff et al. (1993)
Rivière Mélèze	57.25	-70.75	195	Lauriol (1982)
Waterboro	43.5355	-70.7156	91	Koteff et al. (1993)
Ashe Inlet	62.6	-70.666667	112	Manley (1996)
Dayton	43.55	-70.576	84	Koteff et al. (1993)
Clyde Inlet head	69.85	-70.466667	61	Barnett in Andrews and Drapier (1967)
Les Éboulement	47.466667	-70.333333	170	Govare and Gangloff (1989)
Big Island	62.558333	-70.273333	115	Manley (1996)
Lake Auburn	44.129853	-70.238983	104	Thompson et al. (1989)
Radmore Harbour	80.433333	-70.15	81	England (1996)
Cape Wilkes	80.216667	-70.133333	81	England (1996)
Bruce Harbour	62.773333	-70.101667	98	Manley in McNeely (2002)
Lac Bassingnac	58.05	-70.1	176	Lauriol (1982)
Kangirsuk	59.833333	-70.083333	137	Gray et al. (1993)
Inugsuin Fiord head	69.633333	-70.033333	68	Barnett in Andrews and Drapier (1967)
Baie-aux-Feuilles Sud	58.6	-70	183	Gray et al. (1993)
Rivère Arnaud est	59.95	-70	140	Lauriol (1982)
Quaqtaq	61.033333	-69.925	138	Gray et al. (1993)
Rivière Mélèze-2	57.5	-69.9	195	Lauriol (1982)
Concord	44.99405	-69.878447	129	Thompson et al. (1989)
Soper Lake	62.891667	-69.841667	91	Manley (1996)
Lake Harbour	62.783333	-69.833333	95	Manley (1996)
Norridgewock	44.7238	-69.822266	123	Thompson et al. (1989)
Aupaluk	59.25	-69.8	152	Lauriol (1982)
Augusta	44.315566	-69.792694	105	Thompson et al. (1989)
Soper Valley	62.968333	-69.788333	102	Manley (1996)
Saunders Island	76.6	-69.75	40	Kelly et al. (1999)
Kuujjuaq	57.65833	-69.496667	185	Gray et al. (1993)
Tasiujaq	68.866667	-69.45	43	Andrews et al. (1970)
Baie-aux-Feuilles nordest	58.9	-69.45	178	Lauriol (1982)
Iterlak	76.666667	-69.416667	46	Kelly et al. (1999)
Chandler Fiord	81.716667	-69.383333	87	Smith (1999)
Gould Pond (Dexter)	44.983333	-69.316667	115	Anderson et al. (1992)
Narssarssuk	76.455	-69.283333	37	Kelly et al. (1999)
Lac Ballantyne	58.4	-69.2	150	Lauriol (1982)
Trois-Pistoles	48.128333	-69.133333	168	Lee (1963)
Tingin Fiord head	68.95	-69.116667	86	Andrews and Drapier (1967), Andrews et al. (1970)
Ida Bay	81.516667	-69.116667	104	England (1983)
Clyde Cliffs	70.658333	-69.066667	23	Briner et al. (2005)
Bulleys Lump	81.2	-69.066667	95	England (1983)
Searsport	44.451538	-68.959733	89	Thompson et al. (1989)
Clyde Inlet mouth	70.15	-68.933333	34	Smith in Andrews and Drapier (1967)
Kangok Fiord head	68.6	-68.916667	34	Andrews and Drapier (1967), Andrews et al. (1970)
Hampden	44.710603	-68.881272	97	Thompson et al. (1989)
Isabella Bay	69.466667	-68.866667	42	King (1969)
Saint-Fabien	48.306944	-68.853333	155	Locat (1977)
Cap Rosier	44.312778	-68.829167	75	Veillette and Cloutier (1993)
Inugsuin Fiord mouth	69.933333	-68.666667	25	Harrison in Andrews and Drapier (1967)
Wolstenholm Fjord	76.666667	-68.633333	35	Kelly et al. (1999)
Dolby Pond	45.666488	-68.630433	113	Thompson et al. (1989)
Loozie Bay	68.783333	-68.616667	61	Andrews and Drapier (1967)
Balcom Inlet	62.295	-68.591667	67	Manley in Manley and Jennings (1996)
Pitchforth Fiord head	68.958333	-68.566667	69	Andrews et al. (1970)
Carl Ritter B, 26 km South	80.7	-68.483333	99	England (1996)
Iqaluit	63.725	-68.458333	30	Kaplan and Miller (2003)
Neigette	48.397222	-68.434167	140	Hétu (1998)
Sainte-Blandine	48.397222	-68.433333	140	Veillette and Cloutier (1993)
Cape Rammelsberg	63.391667	-68.416667	120	Blake (1966), Mode and Jacobs in Andrews and Short (1983)
Kangok Fiord North	68.633333	-68.4	55	Andrews and Drapier (1967)
Kangok Fiord mouth	68.633333	-68.4	79	Andrews et al. (1970)
Saint-Anaclet	48.483333	-68.377778	145	Hétu (1998)
Koksoak	58.25	-68.3	155	Lauriol (1982)
Mount Desert	44.312591	-68.248275	71	Thompson et al. (1989)
Eggleston Bay	63.216667	-68.221667	104	Lind in Andrews and Short (1983)
Baie Comeau	49.216667	-68.194444	136	Dubois (1977)
Porter Inlet	63.61	-68.173333	96	Manley in Manley and Jennings (1996)
Gypsum River	82.7	-68.116667	124	Bednarski (1986)
Lewis Bay	63.633333	-68.1	119	Jacobs et al. (1985)
Itirbilung Fiord	69.316667	-68.1	54	Miller in Andrews (1976)
Nettilling Fiord	65.66	-68.083	46	Kaplan and Miller (2003)
Pugh Island	63.206667	-68.061667	121	Manley in Manley and Jennings (1996)
Akpatok Island	60.57	-68	81	Gray et al. (1993)
Pike Island	63.223333	-67.953333	123	Manley in Manley and Jennings (1996)
Kangilo Fiord head	66.575	-67.941667	47	Dyke (1979b)
Carl Ritter B, 10 km South	80.783333	-67.916667	122	England (1996)
Carl Ritter Bay	80.916667	-67.9	114	England (1996)
Pitchforth Fiord	69.016667	-67.883333	55	Andrews et al. (1970)
Akpatok Island	60.5	-67.85	90	Gray et al. (1993)
Bond Inlet	62.205	-67.846667	46	Manley and Miller (2001)
Pineo Ridge East	44.66945	-67.833961	77	Thompson et al. (1989)
Millut Bay	66.55	-67.5	58	Dyke (1979b)
Ikpik Bay	65.383	-67.417	69	Kaplan and Miller (2003)
Lafayette Bay	80.311667	-67.393333	90	Bennike (2002)
Confereration Fiord	68.2	-67.383333	43	Miller in Andrews (1975)
Pritzler Harbour	62.116667	-67.35	38	Manley and Miller (2001)
Kangerk Fiord	66.42	-67.3	88	Dyke (1979b)
Round Lake	45.030716	-67.256727	59	Thompson et al. (1989)
Rivière Pentecote	49.783	-67.167	120	Dredge (1983b)
Shark Fiord head	66.7	-67.15	100	Dyke (1979b)
Zealand	46	-67	73	Rampton et al. (1984)
Clements Markham Inlet, middle	82.8	-66.916667	110	Bednarski (1986)
Chase Island	63.033333	-66.883333	114	Duval (1993)
Packdog Creek	81.383333	-66.883333	115	England (1983)
Port Cartier	50.033	-66.867	123	Dredge (1983b)
Cape Hooper	68.433333	-66.766667	40	Andrews et al. (1970)
Pennfield	45.096667	-66.753333	74	Gadd (1973a), Rampton (1984)
Flatland	48	-66.75	47	Rampton et al. (1984)
Charles Francis Hall Bay	62.65	-66.75	70	Stravers et al. (1992)
Restigouche	48.048333	-66.700556	63	Veillette and Cloutier (1993)
Chidliak	64.783333	-66.7	54	Kaplan and Miller (2003)
Qeqertat	77.5	-66.666667	72	Kelly (1985)
Panikpah River	81.05	-66.633333	119	England (1996)
Brodie Bay	67.916667	-66.616667	54	Mears in Andrews and Miller (1972)
Promontory Bay North	62.583333	-66.616667	75	Stravers et al. (1992)
Rivière Sainte-Marguerite	50.133	-66.6	125	Dredge (1983b)
Pocologan	45.115	-66.595	53	Gadd (1973a)
Gabriel Island	62.9	-66.533333	97	Duval in Manley and Jennings (1996)
Midnight Harbour	62.483333	-66.5	94	Stravers et al. (1992)
Sainte-Anne-des-Monts	49.119444	-66.488889	75	Veillette and Cloutier (1993)
Jackman Sound	62.358333	-66.483333	86	Manley and Miller (2001)
York Sound	62.408333	-66.483333	80	Manley and Miller (2001)
Upper Charlo	48.001389	-66.477778	53	Lamothe (1992)
Hamlen Bay	63.073333	-66.458333	81	Miller (1979)
Clements Markham Inlet, mouth	82.9	-66.416667	95	Bednarski (1986)
Brier Island	44.245833	-66.388333	45	Prest et al. (1972)
Nouvelle	48.133333	-66.291667	55	Veillette and Cloutier (1993)
Usualuk Valley	66.558333	-66.266667	70	Dyke (1979b)
Red Head	43.9	-66.25	0	Prest et al. (1972)
Wirral	45.25	-66.25	58	Rampton et al. (1984)
Newton Fiord	63.116667	-66.216667	70	Miller in Kaufman and Williams (1992)
Moisie River	50.3	-66.2	128	Dredge (1983b)
Okoa Bay mouth	67.9	-66.183333	48	Pheasant and Andrews (1973)
Salmon River	44.05	-66.17	10	Prest et al. (1972)
Iqalujjuaq Fiord Southeast	65.55	-66.167	65	Kaplan and Miller (2003)
Nobel Inlet	62.091667	-66.133333	42	Manley and Miller (2001)
Sheldon Point	45.225	-66.11	55	Gadd (1973a)
Marsoui	49.191111	-66.080556	60	Hétu and Gray (2000)
Pangnirtung Fiord mouth	66.1	-66.067	105	Dyke (1979b)
Kendall Strait	62.156667	-66.04	50	Stravers et al. (1992)
Elson Point	58.875	-65.983333	100	Allard et al. (1989)
Kierstead	45.5	-65.9	60	Rampton et al. (1984)
Sandy Cove	44.5	-65.9	41	Stea et al. (2001)
Rivière-à-Claude	49.223889	-65.875	55	Hétu and Gray (2000)
Daly River	81.233333	-65.866667	127	England (1983)
Gold Cove	62.95	-65.833333	74	Miller (1980)
Cape Edwards	64.867	-65.833	64	Kaplan and Miller (2003)
Kekerton Island	65.7	-65.833	102	Kaplan and Miller (2003)
Peter Force Sound	63.016667	-65.783333	75	Miller (1980)
Digby	44.62	-65.76	40	Prest et al. (1972)
Kingnait Fiord mouth West	65.98	-65.75	99	Dyke (1979b)
Pangnirtung	66.141667	-65.725	50	Dyke (1979b)
Anse-Pleureuse	49.244167	-65.638889	55	Hétu and Gray (2000)
Narpaing Fiord central	67.791667	-65.616667	46	Pheasant and Andrews (1973)
Belloni Point	47.666667	-65.566667	50	Grant (1989)
Lac Qarlik	58.9	-65.5	87	Allard et al. (1989)
Melville Bugt	76	-65.5	17	Kelly (1985)
Devels Back Brook	46.9	-65.5	64	Prest et al. (1968), Rampton et al. (1984)
Bonaventure	48.073611	-65.497222	46	Veillette and Cloutier (1993)
Narpaing Fiord head	67.583333	-65.416667	17	Pheasant and Andrews (1973)
Kingnait Fiord mouth	65.783	-65.383	93	Kaplan and Miller (2003)
Lac J'Arrive	49.248889	-65.376389	56	Marcoux and Richard (1995)
Sun Cape	81.666667	-65.333333	114	England (1983)
Popham Bay	64.25	-65.333	33	Kaplan and Miller (2003)
Kingnait Harbour	66.05	-65.266667	72	Andrews (1975)
Weymouth Fiord	59.4	-65.25	62	Allard et al. (1989)
Iqalujjuaq Fiord	65.667	-65.25	74	Kaplan and Miller (2003)
Kingnait Fiord Southeast	65.6	-65.25	72	Kaplan and Miller (2003)
Cass Fiord	80.116667	-65.2	65	Bennike (2002)
Cornelius Grinnell Bay	63.75	-65.167	61	Kaplan and Miller (2003)
Quajon Fiord head	67.616667	-65.166667	34	Pheasant and Andrews (1973)
Rivière-à-la-Chaloupe	50.2875	-65.121111	91	Bigras and Dubois (1987)
Shomeo Point	65.417	-65.083	46	Kaplan and Miller (2003)
Petite-Valée	49.215278	-65.0375	50	Hétu and Gray (2000)
Edgell Island	61.775	-65	21	Gray in Manley and Jennings (1966)
Butler Bay	63.2	-64.933	47	Kaplan and Miller (2003)
Resolution Island	61.3	-64.85	0	Kaplan and Miller (2003)
Baere Sound	62.5	-64.833333	46	Miller (1980)
Krumlien Fiord	65.417	-64.83	34	Kaplan and Miller (2003)
Krumlien Fiord East	65.283	-64.83	37	Kaplan and Miller (2003)
Port Burwell	60.416667	-64.816667	15	Loken (1962), Prest et al. (1968), Vincent (1989)
James Ross Bay	82.73	-64.8	78	England (1983)
Fort Conger	81.75	-64.783333	114	England (1983)
Waterside	45.6	-64.75	33	Rampton et al. (1984)
Spencers Island	45.358611	-64.708889	32	Stea and Wightman (1987)
Ikudliayuk Lake	60.075556	-64.7	34	Gray et al. (2000)
North Pangnirtung Fiord	66.95	-64.65	15	Miller in Andrews (1975)
Sheldrake River	50.333333	-64.6	130	Dubois (1977)
Cape Arnoux	63.217	-64.6	42	Kaplan and Miller (2003)
Nuvuk Point	65.117	-64.567	38	Kaplan and Miller (2003)
Grande Rivière	48.395	-64.513333	38	Veillette and Cloutier (1993)
Cape Baird	81.55	-64.5	120	England (1983)
Ikudliayuk Fiord outer	60.075556	-64.5	26	Loken (1962)
Brevoort Island	63.633	-64.45	27	Kaplan and Miller (2003)
Rivière au Renard	48.9875	-64.418333	38	Veillette and Cloutier (1993)
Kingnait Fiord head	66.35	-64.35	27	Dyke (1979b)
Fort Williams	44.95	-64.3	0	Stea et al. (2001)
Humboldt Glacier	79.941667	-64.285	65	Bennike (2002)
Eclipse Channel	59.783333	-64.266667	56	Loken (1962)
Murray Beach	46	-64.25	15	Stea et al. (2001)
Miminegesh	46.866667	-64.233333	24	Prest (1973)
Brevoort Island	63.333	-64.167	32	Kaplan and Miller (2003)
Abraham Bay	65.183	-64.117	39	Kaplan and Miller (2003)
Ryans Bay head	59.55	-64.1	64	Loken (1962)
Nijadluk Harbour	65.133	-64.083	44	Kaplan and Miller (2003)
Broughton Island	67.546667	-64.041667	5	England anf Andrews (1973)
Nachvak Fiord inner	59.05	-63.95	55	Bell et al. (1989)
Falaise Ste-Marie	49.666389	-63.9125	80	Painchaud et al. (1984)
Cape Mercy	64.967	-63.867	24	Kaplan and Miller (2003)
Aktijartukan Fiord	65.175	-63.85	21	Kaplan and Miller (2003)
Lennox	46.6	-63.85	9	Prest et al. (1968)
Kensington	46.45	-63.75	3	Prest et al. (1968)
Borden-Carleton	46.25	-63.7	0	Prest et al. (1968)
Pugwash	45.9	-63.7	0	Prest et al. (1968)
Cape Mercy North	65.033	-63.583	23	Kaplan and Miller (2003)
Côte Verte	49.4	-63.58	80	Painchaud et al. (1984)
Truro	45.2	-63.4	0	Prest et al. (1968)
Kap Morten	81.176667	-63.341667	110	Bennike (2002)
Nachvak Fiord mouth	59.06	-63.33	68	Bell et al. (1989)
Beaufort Lakes	81.88	-63.33	116	Retelle (1986)
Kangetokjuak Fiord head	66.583333	-62.95	24	Miller in Andrews (1975)
Umiakorvik Lale	57.5	-62.8	94	Andrews (1963)
Alert	82.45	-62.75	122	England (1983)
Magdalen Islands	47.25	-61.9	37	Prest et al. (1968)
Rivière Natashquan	50.5	-61.83	122	Dubois et al. (1984)
Tikkigatsiagak Island	57.2	-61.75	78	Andrews (1963)
Sandbanks (Webb Bay)	56.817	-61.75	41	Johnson (1969)
Atka Elv lower	81.583333	-60.916667	124	England (1985)
Moran Lake	54.55	-60.783333	125	Awadallah and Batterson (1990)
Muskrat Falls	53.258333	-60.745833	135	Fulton and Hodgson (1979)
Kanairiktok River	54.816667	-60.733333	100	Awadallah and Batterson (1990)
Northwest River	53.525	-60.15	135	Hodgson and Fulton (1972)
Hall Land central	81.65	-59.966667	140	England (1985)
Rivière Mécatina	50.9	-59.75	130	Dubois et al. (1984)
Wreckhouse	47.7	-59.3	9	Brookes (1977)
Cape St George	48.466666	-59.25	65	Bell et al. (2003)
Abrahams Cove	48.520833	-58.906111	43	Brookes (1969)
St Augustin	51.33	-58.83	150	Dubois et al. (1984)
Robinsons Head	48.2625	-58.796944	44	Brookes (1974)
Newman Bay East	81.816667	-58.666667	139	England (1985)
Rope Cove	48.916667	-58.485	75	Brookes (1974)
Stephenville	48.416667	-58.466667	27	Bell et al. (2003)
Trout River Pond	49.444167	-58.118333	40	Grant (1987)
The Backway	54.083333	-58.116667	90	Rogerson (1977)
Green Garden	49.507778	-58.101667	72	Grant (1987)
Goose Arm	49.123056	-57.9325	60	Batterson and Catto (2001)
Glenburnie	49.446667	-57.8975	42	Grant (1987)
Norris Point	49.531944	-57.861389	90	Grant (1987)
Humber Gorge	48.948333	-57.846667	49	Prest et al. (1972)
Michael River	54.675	-57.808333	84	Hodgson and Fulton (1972)
Lomond	49.453889	-57.751667	43	Grant (1987)
Parsons Pond	50.08	-57.6	106	Grant (1994)
Port au Choix	50.716667	-57.4	137	Grant (1994)
Reidville (Junction Br)	49.25	-57.383333	45	Batterson and Catto (2001)
Western Blue Pond	50.375	-57.25	115	Grant (1994)
Sandwich Bay mouth	53.6	-57.25	113	Rogerson (1977), Vincent (1989)
Brador Bay	51.5	-57.247222	152	Grant (1992)
Sandy Point	53.8375	-57.133333	80	Fulton and Hodgson (1979)
Forteau	51.488333	-56.976667	137	Grant (1992)
Sops Arm	49.725	-56.928333	60	McCuaig (2003)
Jackson's Arm	49.861667	-56.815833	41	Grant (1994)
L'Anse au Loup	51.53333	-56.783333	145	Grant (1992)
Bartletts Harbour	50.9	-56.75	140	Grant (1994)
Pinware Bay	51.658333	-56.683333	135	Grant (1992)
Western Arm	49.83	-56.55	70	McCuaig (2003)
Red Bay	51.741667	-56.483333	130	Grant (1992)
North Bay River	47.75	-56.4	21	Jenness (1960)
Baie Verte	49.91	-56.275833	61	Prest et al. (1968)
Halls Bay	49.483333	-56.191667	76	Tucker (1974)
Upernavik	72.25	-56	21	Kelly (1985)
Locks Cove	51.366667	-55.966667	130	Grant (1992)
Fortune	46.9	-55.95	6	Tucker et al. (1982)
Grand Cove	50.03	-55.9	70	Grant (1994)
Croque	51.056667	-55.846667	137	Grant (1992)
Harbour Breton	47.51	-55.826667	23	Leckie and McCann (1983)
Bay d'Espoir	47.9	-55.791667	25	Liverman (1994)
St Anthony	51.371389	-55.6225	137	Grant (1992)
Bell Island	50.75	-55.6	136	Grant (1992)
Exploits River	49.063333	-55.555833	50	Grant (1989)
Quirpon Island	51.608333	-55.416667	133	Grant (1992)
Botwood	49.1	-55.366667	53	Twenhofel (1947), Jenness (1960)
Burin Peninsula West	47.4	-55.25	16	Tucker et al. (1982)
Kap Fulford	82.296667	-55.063333	131	Kelly and Bennike (1992)
Marystown	47.2	-55	5	Tucker et al. (1982)
Hareoen	70.383333	-54.95	60	Ingolfsson et al. (1990)
Enoks Havn	69.733333	-54.833333	55	Ingolfsson et al. (1990)
Terrenceville	47.6	-54.7	18	Jenness (1960), Tucker et al. (1982)
Disko Island Northwest	70.266667	-54.616667	60	Bennike et al. (1994)
Disko Fiord mouth	69.433333	-54.35	69	Bennike et al. (1994)
Port Blandford	48.35	-54.17	30	Liverman (1994)
Southern Harbour	47.75	-54	13	Batterson and Taylor (2003)
Come By Chance	47.85	-53.983	10	Henderson (1972)
Musgrave Harbour	49.45	-53.97	57	Liverman (1994)
Traytown	48.666667	-53.966667	39	Sommerville (1997)
Bull Arm	47.817	-53.867	10	Henderson (1972)
Parsons Point	49.033333	-53.866667	40	Prest et al. (1968)
Long Harbour	47.42	-53.83	6	Henderson (1972)
Nisip kua	67.233333	-53.783333	140	Kelly (1973)
St Chads	48.685	-53.778333	38	Dyke (1973), Sommerville (1997)
Dildo South	47.5	-53.57	14	Batterson and Taylor (2003)
Hearts Delight	47.77	-53.47	12	Batterson and Taylor (2003)
Disko Fiord	69.483333	-53.466667	83	Bennike et al. (1994)
Bloesedalen	69.283333	-53.466667	95	Ingolfsson et al. (1990)
Hearts Content	47.87	-53.38	9	Batterson and Taylor (2003)
Sukkertoppen Island	65.6	-52.916667	120	Funder (1989)
Umivik	68.533333	-52.85	112	Long and Roberts (2003)
Spear Island	47.1	-52.75	11	Rogerson and Tucker (1972)
Aussivit	66.566667	-52.4	125	Ten Brink (1974)
Innaarsuit	68.616667	-52.1	110	Long et al. (2003)
Imarngit	64.3	-52.066667	90	Kelly (1985)
Angujaetorfiup kua	66.716667	-51.4	115	Ten Brink (1974)
Arvenprinsen Ejland	69.761111	-51.241667	73	Long et al. (1999)
Marraq	63.428333	-51.201667	70	Kelly (1985)
Akulliit 4	68.671167	-51.116667	85	Long and Roberts (2003)
Tatsip ata	66.833333	-51.083333	100	Ten Brink (1974)
Umivit	66.833333	-50.716667	65	Ten Brink (1974)
Gunnar Andersson Dal	82.5	-50.516667	116	Kelly and Bennike (1992)
Ameralik	64.333333	-50.4	80	Kelly (1985)
Mellembygd	62.066667	-49.333333	53	Kelly (1985)
Kap Wallen	82.25	-48.583333	108	Kelly and Bennike (1992)
Narssaq	60.908333	-46.066667	52	Kelly (1985)
Th Thomsen Fjord	83.05	-43.4	100	Kelly and Bennike (1992)
J P Koch Fjord	82.391667	-40.5	42	Kelly and Bennike (1992)
Nordpasset	82.97	-37.731667	50	Landvik et al. (2001)
Bronlundhus	82.183333	-30.533333	65	Bennike (1987)
Kolelv West	82.15	-29.633333	80	Bennike (1987)
Danmark Island	70.5	-26.183333	115	Funder (1990)
Bjorneoer	71.166667	-25.333333	105	Funder (1990)
Konglomeratelv	71.35	-24.833333	110	Funder (1990)
Brogrtdal	73.716667	-24.616667	65	Hjort (1979)
Kap Petersens	72.416667	-24.583333	100	Hjort (1979)
Lollandselv	70.95	-24.116667	80	Funder (1990)
Jyllandselv	70.733333	-24.1	75	Gulliksen et al. (1991)
Holms Bugt	72.516667	-23.966667	110	Hjort (1979)
Segldal	72.116667	-23.566667	100	Hjort (1979)
Danmark Fiord head	80.516667	-23.5	35	Bennike and Weidick (2001)
Kap Laura	72.883333	-23.416667	90	Hjort (1979)
Antarctic Dal	72	-23.333333	70	Hjort (1979)
Fleming Fjord	71.883333	-22.916667	60	Hjort (1979)
Nathorst Fiord	71.6	-22.616667	50	Funder (1990)
Ryders Elv	70.866667	-22.483333	44	Funder (1990)
Stordalen	73.666667	-22	70	Hjort (1979)
Kap Mackenzie	72.9	-21.966667	70	Hjort (1979)
Foster Bugt	73.45	-21.783333	75	Hjort (1979)
Nioghalvfjerdsfjorden inner	79.586667	-21.681667	40	Bennike and Weidick (2001)
Eskimonaes	74.1	-21.266667	50	Hjort (1979)
Kildedalen	75.25	-20.916667	50	Hjort (1979)
Island off Sanddalen	78.126667	-20.3	40	Bennike and Weidick (2001)
Permdal	74.4	-20.25	50	Hjort (1979)
Hvalrosodden	76.933333	-20.25	42	Landvik (1994)
Peters Bugt So	75.3	-20.083333	65	Hjort (1979)
Fladebugt	77.266667	-19.466667	54	Landvik (1994)
Lambertland	79.231667	-19.095	65	Bennike and Weidick (2001)
Nioghalvfjerdsfjorden mouth	79.748333	-18.86	65	Bennike and Weidick (2001)
Ile de France	77.846667	-17.766667	60	Bennike and Weidick (2001)
Holm Land Northeast	80.5	-16	80	Bennike and Weidick (2001)
Antarctic Bugt	80.833333	-15	80	Hjort (1979)
Kilen	81.166667	-14	80	Bennike and Weidick (2001)
Foster Lake South	68	-85.75	150	Dredge (1995)
